,수온,Condition factor,ALP,T P,Wgp2,Wgi3,Whkp2,Whki2-1,Wlr1,Wlr2-1,Wsi2,결과
203,19.92,2.056,112.0,3.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
204,19.92,1.766,140.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
205,19.92,1.731,131.0,5.7,4.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
206,19.92,1.317,128.0,5.5,8.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
207,19.92,1.883,137.0,7.1,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
208,19.92,1.873,116.0,5.4,4.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0
209,19.92,1.685,92.0,5.5,4.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0
210,21.85,2.093,188.0,5.4,4.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
211,21.85,1.87,138.0,5.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
212,21.85,2.263,162.0,5.5,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
213,21.85,1.985,114.0,4.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,21.85,2.174,115.0,4.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
215,21.85,1.61,126.0,3.1,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0
216,21.85,2.221,119.0,4.1,8.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
217,21.85,1.983,296.0,4.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,21.85,1.931,149.0,4.7,8.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
219,21.85,2.582,197.0,4.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
220,21.85,2.411,155.0,4.8,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
221,21.85,1.979,150.0,5.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
222,21.85,2.365,238.0,5.1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
223,21.85,2.116,83.0,3.3,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
224,21.85,2.237,157.0,4.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
225,22.91,2.275,62.0,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,22.91,1.978,114.0,5.3,0.0,0.0,8.0,0.0,4.0,8.0,4.0,1.0
227,22.91,2.015,119.0,5.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,22.91,2.296,100.0,4.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,22.91,2.074,94.0,5.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,22.91,2.227,73.0,4.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,22.91,1.911,100.0,5.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
232,22.91,2.034,123.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,22.91,2.317,66.0,5.3,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
234,22.91,2.426,74.0,5.3,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
235,22.91,2.742,84.0,4.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,22.91,2.389,68.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
237,22.91,2.392,104.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,22.91,1.643,115.0,4.1,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
239,22.91,2.186,93.0,4.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,19.54,1.823,99.0,4.4,4.0,0.0,4.0,0.0,4.0,4.0,8.0,1.0
241,19.54,2.415,89.0,5.6,4.0,0.0,8.0,0.0,8.0,4.0,4.0,1.0
242,19.54,2.465,128.0,4.7,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
243,19.54,2.101,108.0,5.2,8.0,0.0,12.0,8.0,4.0,0.0,8.0,2.0
244,19.54,3.11,119.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,19.54,2.082,54.0,5.5,0.0,0.0,12.0,4.0,8.0,0.0,8.0,1.0
246,19.54,2.31,118.0,4.2,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
247,19.54,2.333,76.0,6.4,4.0,0.0,12.0,0.0,8.0,0.0,8.0,2.0
248,19.54,2.325,62.0,5.9,8.0,0.0,12.0,8.0,8.0,0.0,12.0,2.0
249,19.54,2.319,124.0,4.8,4.0,0.0,0.0,4.0,4.0,0.0,8.0,1.0
250,19.54,2.242,45.0,4.4,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0
251,19.54,2.6,49.0,4.8,4.0,0.0,12.0,0.0,0.0,0.0,8.0,2.0
252,19.54,2.095,97.0,3.3,8.0,0.0,8.0,8.0,4.0,4.0,8.0,2.0
253,19.54,2.632,39.0,5.3,0.0,0.0,12.0,0.0,8.0,0.0,8.0,2.0
254,19.54,1.972,46.0,2.9,8.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0
255,19.54,2.263,99.0,4.5,8.0,0.0,8.0,8.0,8.0,0.0,8.0,2.0
256,19.54,1.777,108.0,3.4,8.0,0.0,12.0,8.0,12.0,0.0,12.0,2.0
257,19.54,2.216,107.0,5.1,8.0,0.0,12.0,8.0,4.0,0.0,8.0,2.0
258,19.54,2.148,53.0,5.4,0.0,0.0,12.0,4.0,8.0,0.0,8.0,1.0
259,19.54,2.259,96.0,3.2,8.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0
260,19.54,3.017,40.0,5.3,8.0,0.0,8.0,8.0,8.0,0.0,8.0,2.0
261,19.54,2.179,50.0,2.8,8.0,0.0,12.0,8.0,12.0,0.0,12.0,2.0
262,20.11,2.409,166.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0
263,20.11,2.609,109.0,4.7,4.0,0.0,8.0,0.0,0.0,8.0,4.0,1.0
264,20.11,2.523,142.0,4.9,4.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
265,20.11,2.367,121.0,4.4,0.0,0.0,8.0,8.0,0.0,8.0,8.0,2.0
266,20.11,1.967,132.0,4.4,0.0,0.0,0.0,0.0,4.0,8.0,4.0,1.0
267,20.11,2.069,118.0,3.8,4.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0
268,20.11,2.004,99.0,3.3,8.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0
269,20.11,2.759,185.0,5.5,8.0,0.0,4.0,0.0,0.0,8.0,8.0,2.0
270,20.11,2.724,113.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0
271,20.11,2.223,152.0,4.0,8.0,0.0,0.0,4.0,8.0,8.0,8.0,2.0
272,20.11,2.252,131.0,4.2,8.0,0.0,4.0,8.0,0.0,8.0,8.0,2.0
273,20.11,4.335,142.0,5.9,4.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
